code,name,cname,lower_name,code_full
6,Shuozhou,朔州,shuozhou,CHN014006
7,Jinzhong,晋中,jinzhong,CHN014007
8,Yuncheng,运城,yuncheng,CHN014008
9,Xinzhou,忻州,xinzhou,CHN014009
10,Linfen,临汾,linfen,CHN014010
11,luliang,吕梁,luliang,CHN014011
1,Hohhot,呼和浩特,hohhot,CHN015001
2,Baotou,包头,baotou,CHN015002
3,Wuhai,乌海,wuhai,CHN015003
4,Chifeng,赤峰,chifeng,CHN015004
5,Tongliao,通辽,tongliao,CHN015005
6,Ordos,鄂尔多斯,ordos,CHN015006
7,Hulun Buir,呼伦贝尔,hulun buir,CHN015007
8,Bayannur,巴彦淖尔,bayannur,CHN015008
9,Ulan Qab,乌兰察布,ulan qab,CHN015009
22,Xing'an,兴安,xing'an,CHN015022
25,Xilin Gol,锡林郭勒,xilin gol,CHN015025
29,Alxa,阿拉善,alxa,CHN015029
1,Shenyang,沈阳,shenyang,CHN021001
2,Dalian,大连,dalian,CHN021002
3,Anshan,鞍山,anshan,CHN021003
4,Fushun,抚顺,fushun,CHN021004
5,Benxi,本溪,benxi,CHN021005
6,Dandong,丹东,dandong,CHN021006
7,Jinzhou,锦州,jinzhou,CHN021007
8,Yingkou,营口,yingkou,CHN021008
9,Fuxin,阜新,fuxin,CHN021009
10,Liaoyang,辽阳,liaoyang,CHN021010
11,Panjin,盘锦,panjin,CHN021011
12,Tieling,铁岭,tieling,CHN021012
13,Chaoyang,朝阳,chaoyang,CHN021013
14,Huludao,葫芦岛,huludao,CHN021014
1,Changchun,长春,changchun,CHN022001
2,Jilin,吉林,jilin,CHN022002
3,Siping,四平,siping,CHN022003
4,Liaoyuan,辽源,liaoyuan,CHN022004
5,Tonghua,通化,tonghua,CHN022005
6,Baishan,白山,baishan,CHN022006
7,Songyuan,松原,songyuan,CHN022007
8,Baicheng,白城,baicheng,CHN022008
24,Yanbian Korean Autonomous Prefecture,延边,yanbian korean autonomous prefecture,CHN022024
1,Harbin,哈尔滨,harbin,CHN023001
2,Qiqihar,齐齐哈尔,qiqihar,CHN023002
3,Jixi,鸡西,jixi,CHN023003
4,Hegang,鹤岗,hegang,CHN023004
5,Shuangyashan,双鸭山,shuangyashan,CHN023005
6,Daqing,大庆,daqing,CHN023006
7,Yichun,伊春,yichun,CHN023007
8,Jiamusi,佳木斯,jiamusi,CHN023008
9,Qitaihe,七台河,qitaihe,CHN023009
10,Mudanjiang,牡丹江,mudanjiang,CHN023010
11,Heihe,黑河,heihe,CHN023011
12,Suihua,绥化,suihua,CHN023012
27,Da Hinggan Ling,大兴安岭,da hinggan ling,CHN023027
1,Huangpu,黄浦,huangpu,CHN031001
3,Luwan,卢湾,luwan,CHN031003
4,Xuhui,徐汇,xuhui,CHN031004
5,Changning,长宁,changning,CHN031005
6,Jing'an,静安,jing'an,CHN031006
7,Putuo,普陀,putuo,CHN031007
8,Zhabei,闸北,zhabei,CHN031008
9,Hongkou,虹口,hongkou,CHN031009
11,Yangpu,杨浦,yangpu,CHN031011
12,Minhang,闵行,minhang,CHN031012
13,Baoshan,宝山,baoshan,CHN031013
14,Jiading,嘉定,jiading,CHN031014
15,Pudong New Area,浦东新区,pudong new area,CHN031015
16,Jinshan,金山,jinshan,CHN031016
17,Songjiang,松江,songjiang,CHN031017
26,Fengxian,奉贤,fengxian,CHN031026
29,Qingpu,青浦,qingpu,CHN031029
30,Chongming,崇明,chongming,CHN031030
1,Nanjing,南京,nanjing,CHN032001
2,Wuxi,无锡,wuxi,CHN032002
3,Xuzhou,徐州,xuzhou,CHN032003
4,Changzhou,常州,changzhou,CHN032004
5,Suzhou,苏州,suzhou,CHN032005
6,Nantong,南通,nantong,CHN032006
7,Lianyungang,连云港,lianyungang,CHN032007
8,Huai'an,淮安,huai'an,CHN032008
9,Yancheng,盐城,yancheng,CHN032009
10,Yangzhou,扬州,yangzhou,CHN032010
11,Zhenjiang,镇江,zhenjiang,CHN032011
12,Taizhou,泰州,taizhou,CHN032012
13,Suqian,宿迁,suqian,CHN032013
1,Hangzhou,杭州,hangzhou,CHN033001
2,Ningbo,宁波,ningbo,CHN033002
3,Wenzhou,温州,wenzhou,CHN033003
4,Jiaxing,嘉兴,jiaxing,CHN033004
5,Huzhou,湖州,huzhou,CHN033005
6,Shaoxing,绍兴,shaoxing,CHN033006
7,Jinhua,金华,jinhua,CHN033007
8,Quzhou,衢州,quzhou,CHN033008
9,Zhoushan,舟山,zhoushan,CHN033009
10,Taizhou,台州,taizhou,CHN033010
11,Lishui,丽水,lishui,CHN033011
1,Hefei,合肥,hefei,CHN034001
2,Wuhu,芜湖,wuhu,CHN034002
3,Bengbu,蚌埠,bengbu,CHN034003
4,Huainan,淮南,huainan,CHN034004
5,Ma'anshan,马鞍山,ma'anshan,CHN034005
6,Huaibei,淮北,huaibei,CHN034006
7,Tongling,铜陵,tongling,CHN034007
8,Anqing,安庆,anqing,CHN034008
10,Huangshan,黄山,huangshan,CHN034010
11,Chuzhou,滁州,chuzhou,CHN034011
12,Fuyang,阜阳,fuyang,CHN034012
13,Suzhou,宿州,suzhou,CHN034013
15,Lu'an,六安,lu'an,CHN034015
16,Bozhou,亳州,bozhou,CHN034016
17,Chizhou,池州,chizhou,CHN034017
18,Xuancheng,宣城,xuancheng,CHN034018
1,Fuzhou,福州,fuzhou,CHN035001
2,Xiamen,厦门,xiamen,CHN035002
3,Putian,莆田,putian,CHN035003
4,Sanming,三明,sanming,CHN035004
5,Quanzhou,泉州,quanzhou,CHN035005
6,Zhangzhou,漳州,zhangzhou,CHN035006
7,Nanping,南平,nanping,CHN035007
8,Longyan,龙岩,longyan,CHN035008
9,Ningde,宁德,ningde,CHN035009
1,Nanchang,南昌,nanchang,CHN036001
2,Jingdezhen,景德镇,jingdezhen,CHN036002
3,Pingxiang,萍乡,pingxiang,CHN036003
4,Jiujiang,九江,jiujiang,CHN036004
5,Xinyu,新余,xinyu,CHN036005
6,Yingtan,鹰潭,yingtan,CHN036006
7,Ganzhou,赣州,ganzhou,CHN036007
8,Ji'an,吉安,ji'an,CHN036008
9,Yichun,宜春,yichun,CHN036009
10,Fuzhou,抚州,fuzhou,CHN036010
11,Shangrao,上饶,shangrao,CHN036011
1,Jinan,济南,jinan,CHN037001
2,Qingdao,青岛,qingdao,CHN037002
3,Zibo,淄博,zibo,CHN037003
4,Zaozhuang,枣庄,zaozhuang,CHN037004
5,Dongying,东营,dongying,CHN037005
6,Yantai,烟台,yantai,CHN037006
7,Weifang,潍坊,weifang,CHN037007
8,Jining,济宁,jining,CHN037008
9,Tai'an,泰安,tai'an,CHN037009
10,Weihai,威海,weihai,CHN037010
11,Rizhao,日照,rizhao,CHN037011
12,Laiwu,莱芜,laiwu,CHN037012
13,Linyi,临沂,linyi,CHN037013
14,Dezhou,德州,dezhou,CHN037014
15,Liaocheng,聊城,liaocheng,CHN037015
16,Binzhou,滨州,binzhou,CHN037016
17,Heze,菏泽,heze,CHN037017
1,Zhengzhou,郑州,zhengzhou,CHN041001
2,Kaifeng,开封,kaifeng,CHN041002
3,Luoyang,洛阳,luoyang,CHN041003
4,Pingdingshan,平顶山,pingdingshan,CHN041004
5,Anyang,安阳,anyang,CHN041005
6,Hebi,鹤壁,hebi,CHN041006
7,Xinxiang,新乡,xinxiang,CHN041007
8,Jiaozuo,焦作,jiaozuo,CHN041008
9,Puyang,濮阳,puyang,CHN041009
10,Xuchang,许昌,xuchang,CHN041010
11,Luohe,漯河,luohe,CHN041011
12,Sanmenxia,三门峡,sanmenxia,CHN041012
13,Nanyang,南阳,nanyang,CHN041013
14,Shangqiu,商丘,shangqiu,CHN041014
15,Xinyang,信阳,xinyang,CHN041015
16,Zhoukou,周口,zhoukou,CHN041016
17,Zhumadian,驻马店,zhumadian,CHN041017
18,Jiyuan,济源,jiyuan,CHN041018
1,Wuhan,武汉,wuhan,CHN042001
2,Huangshi,黄石,huangshi,CHN042002
3,Shiyan,十堰,shiyan,CHN042003
5,Yichang,宜昌,yichang,CHN042005
6,Xiangyang,襄阳,xiangyang,CHN042006
7,Ezhou,鄂州,ezhou,CHN042007
8,Jingmen,荆门,jingmen,CHN042008
9,Xiaogan,孝感,xiaogan,CHN042009
10,Jingzhou,荆州,jingzhou,CHN042010
11,Huanggang,黄冈,huanggang,CHN042011
12,Xianning,咸宁,xianning,CHN042012
13,Suizhou,随州,suizhou,CHN042013
28,Enshi Tujia-Miao Autonomous Prefecture,恩施,enshi tujia-miao autonomous prefecture,CHN042028
94,Xiantao,仙桃,xiantao,CHN042094
95,Qianjiang,潜江,qianjiang,CHN042095
96,Tianmen,天门,tianmen,CHN042096
A21,Shennongjia,神农架,shennongjia,CHN042A21
1,Changsha,长沙,changsha,CHN043001
2,Zhuzhou,株洲,zhuzhou,CHN043002
3,Xiangtan,湘潭,xiangtan,CHN043003
4,Hengyang,衡阳,hengyang,CHN043004
5,Shaoyang,邵阳,shaoyang,CHN043005
6,Yueyang,岳阳,yueyang,CHN043006
7,Changde,常德,changde,CHN043007
8,Zhangjiajie,张家界,zhangjiajie,CHN043008
9,Yiyang,益阳,yiyang,CHN043009
10,Chenzhou,郴州,chenzhou,CHN043010
11,Yongzhou,永州,yongzhou,CHN043011
12,Huaihua,怀化,huaihua,CHN043012
13,Loudi,娄底,loudi,CHN043013
31,Xiangxi Tujia-Miao Autonomous Prefecture,湘西,xiangxi tujia-miao autonomous prefecture,CHN043031
1,Guangzhou,广州,guangzhou,CHN044001
2,Shaoguan,韶关,shaoguan,CHN044002
3,Shenzhen,深圳,shenzhen,CHN044003
4,Zhuhai,珠海,zhuhai,CHN044004
5,Shantou,汕头,shantou,CHN044005
6,Foshan,佛山,foshan,CHN044006
7,Jiangmen,江门,jiangmen,CHN044007
8,Zhanjiang,湛江,zhanjiang,CHN044008
9,Maoming,茂名,maoming,CHN044009
12,Zhaoqing,肇庆,zhaoqing,CHN044012
13,Huizhou,惠州,huizhou,CHN044013
14,Meizhou,梅州,meizhou,CHN044014
15,Shanwei,汕尾,shanwei,CHN044015
16,Heyuan,河源,heyuan,CHN044016
17,Yangjiang,阳江,yangjiang,CHN044017
18,Qingyuan,清远,qingyuan,CHN044018
19,Dongguan,东莞,dongguan,CHN044019
20,Zhongshan,中山,zhongshan,CHN044020
51,Chaozhou,潮州,chaozhou,CHN044051
52,Jieyang,揭阳,jieyang,CHN044052
53,Yunfu,云浮,yunfu,CHN044053
1,Nanning,南宁,nanning,CHN045001
2,Liuzhou,柳州,liuzhou,CHN045002
3,Guilin,桂林,guilin,CHN045003
4,Wuzhou,梧州,wuzhou,CHN045004
5,Beihai,北海,beihai,CHN045005
6,Fangchenggang,防城港,fangchenggang,CHN045006
7,Qinzhou,钦州,qinzhou,CHN045007
8,Guigang,贵港,guigang,CHN045008
9,Yulin,玉林,yulin,CHN045009
10,Baise,百色,baise,CHN045010
11,Hezhou,贺州,hezhou,CHN045011
12,Hechi,河池,hechi,CHN045012
13,Laibin,来宾,laibin,CHN045013
14,Chongzuo,崇左,chongzuo,CHN045014
1,Haikou,海口,haikou,CHN046001
2,Sanya,三亚,sanya,CHN046002
3,Shansha,三沙,shansha,CHN046003
91,Wuzhishan,五指山,wuzhishan,CHN046091
92,Qionghai,琼海,qionghai,CHN046092
93,Danzhou,儋州,danzhou,CHN046093
95,Wenchang,文昌,wenchang,CHN046095
96,Wanning,万宁,wanning,CHN046096
97,Dornod,东方,dornod,CHN046097
A25,Ding'an,定安,ding'an,CHN046A25
A26,Tunchang,屯昌,tunchang,CHN046A26
A27,Cengmai,澄迈,cengmai,CHN046A27
A28,Lingao,临高,lingao,CHN046A28
A3,Baisha Li Autonomous County,白沙,baisha li autonomous county,CHN046A30
A31,Jiang Li Autonomous County,昌江,jiang li autonomous county,CHN046A31
A33,Ledong Li Autonomous County,乐东,ledong li autonomous county,CHN046A33
A34,Lingshui Li Autonomous County,陵水,lingshui li autonomous county,CHN046A34
A35,Baoting Li-Miao Autonomous County,保亭,baoting li-miao autonomous county,CHN046A35
A36,Qiongzhong Li-Miao Autonomous County,琼中,qiongzhong li-miao autonomous county,CHN046A36
1,Wanzhou,万州,wanzhou,CHN050001
2,Fuling,涪陵,fuling,CHN050002
3,Yuzhong,渝中,yuzhong,CHN050003
4,Dadukou,大渡口,dadukou,CHN050004
5,Jiangbei,江北,jiangbei,CHN050005
6,Shapingba,沙坪坝,shapingba,CHN050006
7,Jiulongpo,九龙坡,jiulongpo,CHN050007
8,Nan'an,南岸,nan'an,CHN050008
9,Beibei,北碚,beibei,CHN050009
10,Wansheng,万盛,wansheng,CHN050010
11,Shuangqiao,双桥,shuangqiao,CHN050011
12,Yubei,渝北,yubei,CHN050012
13,Ba'nan,巴南,ba'nan,CHN050013
21,Changshou,长寿,changshou,CHN050021
22,Qijiang,綦江,qijiang,CHN050022
23,Tongnan,潼南,tongnan,CHN050023
24,Tongliang,铜梁,tongliang,CHN050024
25,Dazu,大足,dazu,CHN050025
26,Rongchang,荣昌,rongchang,CHN050026
27,Bishan,璧山,bishan,CHN050027
28,Liangping,梁平,liangping,CHN050028
29,Chengkou,城口,chengkou,CHN050029
30,Fengdu,丰都,fengdu,CHN050030
31,Dianjiang,垫江,dianjiang,CHN050031
32,Wulong,武隆,wulong,CHN050032
33,Zhongxian,忠县,zhongxian,CHN050033
34,Kaixian,开县,kaixian,CHN050034
35,Yunyang,云阳,yunyang,CHN050035
36,Fengjie,奉节,fengjie,CHN050036
37,Wushan,巫山,wushan,CHN050037
38,Wuxi,巫溪,wuxi,CHN050038
39,Qianjiang,黔江,qianjiang,CHN050039
40,Shizhu Tujia Autonomous Country,石柱,shizhu tujia autonomous country,CHN050040
41,Xiushan Tujia-Miao Autonomous Country,秀山,xiushan tujia-miao autonomous country,CHN050041
42,Youyang Tujia-Miao Autonomous Country,酉阳,youyang tujia-miao autonomous country,CHN050042
43,Pengshui Miao-Tujia Autonomous Country,彭水,pengshui miao-tujia autonomous country,CHN050043
81,Jiangjin,江津,jiangjin,CHN050081
82,Hechuan,合川,hechuan,CHN050082
83,Yongchuan,永川,yongchuan,CHN050083
84,Liangjiangxinqu,南川,liangjiangxinqu,CHN050084
85,Kaixian,两江新区,kaixian,CHN050085
1,Chengdu,成都,chengdu,CHN051001
3,Zigong,自贡,zigong,CHN051003
4,Panzhihua,攀枝花,panzhihua,CHN051004
5,Luzhou,泸州,luzhou,CHN051005
6,Deyang,德阳,deyang,CHN051006
7,Mianyang,绵阳,mianyang,CHN051007
8,Guangyuan,广元,guangyuan,CHN051008
9,Suining,遂宁,suining,CHN051009
10,Neijiang,内江,neijiang,CHN051010
11,Leshan,乐山,leshan,CHN051011
13,Nanchong,南充,nanchong,CHN051013
14,Meishan,眉山,meishan,CHN051014
15,Yibin,宜宾,yibin,CHN051015
16,Guang'an,广安,guang'an,CHN051016
17,Dazhou,达州,dazhou,CHN051017
18,Ya'an,雅安,ya'an,CHN051018
19,Bazhong,巴中,bazhong,CHN051019
20,Ziyang,资阳,ziyang,CHN051020
32,Aba Tibetan-Qiang Autonomous Prefecture,阿坝,aba tibetan-qiang autonomous prefecture,CHN051032
33,Garze Tibetan Autonomous Prefecture,甘孜,garze tibetan autonomous prefecture,CHN051033
34,Liangshan Yi Autonomous Prefecture,凉山,liangshan yi autonomous prefecture,CHN051034
1,Guiyang,贵阳,guiyang,CHN052001
2,Liupanshui,六盘水,liupanshui,CHN052002
3,Zunyi,遵义,zunyi,CHN052003
4,Anshun,安顺,anshun,CHN052004
22,Tongren,铜仁,tongren,CHN052022
23,Qianxinan Buyi-Miao Autonomous Prefecture,黔西南,qianxinan buyi-miao autonomous prefecture,CHN052023
24,Bijie,毕节,bijie,CHN052024
26,Qiandongnan Miao-Dong Autonomous Prefecture,黔东南,qiandongnan miao-dong autonomous prefecture,CHN052026
27,Qiannan Buyi Autonomous Prefecture,黔南,qiannan buyi autonomous prefecture,CHN052027
1,Kunming,昆明,kunming,CHN053001
3,Qujing,曲靖,qujing,CHN053003
4,Yuxi,玉溪,yuxi,CHN053004
5,Baoshan,保山,baoshan,CHN053005
6,Zhaotong,昭通,zhaotong,CHN053006
7,Lijiang,丽江,lijiang,CHN053007
8,Pu'er,普洱,pu'er,CHN053008
9,Lincang,临沧,lincang,CHN053009
23,Chuxiong Yi Autonomous Prefecture,楚雄,chuxiong yi autonomous prefecture,CHN053023
25,Honghe Hani-Yi Autonomous Prefecture,红河,honghe hani-yi autonomous prefecture,CHN053025
26,Wenshan Zhuang-Miao Autonomous Prefecture,文山,wenshan zhuang-miao autonomous prefecture,CHN053026
28,Xishuangbanna Dai Autonomous Prefecture,西双版纳,xishuangbanna dai autonomous prefecture,CHN053028
29,Dali Bai Autonomous Prefecture,大理,dali bai autonomous prefecture,CHN053029
31,Dehong Dai-Jingpo Autonomous Prefecture,德宏,dehong dai-jingpo autonomous prefecture,CHN053031
33,Nujiang Lisu Autonomous Prefecture,怒江,nujiang lisu autonomous prefecture,CHN053033
34,Diqing Tibetan Autonomous Prefecture,迪庆,diqing tibetan autonomous prefecture,CHN053034
1,Lhasa,拉萨,lhasa,CHN054001
21,Qamdo,昌都,qamdo,CHN054021
22,Shannan,山南,shannan,CHN054022
23,Xigaze,日喀则,xigaze,CHN054023
24,Nagqu,那曲,nagqu,CHN054024
25,Ngari,阿里,ngari,CHN054025
26,Nyingchi,林芝,nyingchi,CHN054026
1,Xi'an,西安,xi'an,CHN061001
2,Tongchuan,铜川,tongchuan,CHN061002
3,Baoji,宝鸡,baoji,CHN061003
4,Xianyang,咸阳,xianyang,CHN061004
5,Weinan,渭南,weinan,CHN061005
6,Yan'an,延安,yan'an,CHN061006
7,Hanzhong,汉中,hanzhong,CHN061007
8,Yulin,榆林,yulin,CHN061008
9,Ankang,安康,ankang,CHN061009
10,Shangluo,商洛,shangluo,CHN061010
1,Lanzhou,兰州市,lanzhou,CHN062001
2,Jinchang,嘉峪关,jinchang,CHN062002
3,Baiyin,金昌,baiyin,CHN062003
4,Tianshui,白银,tianshui,CHN062004
5,Jiayuguan,天水,jiayuguan,CHN062005
6,Wuwei,武威,wuwei,CHN062006
7,Zhangye,张掖,zhangye,CHN062007
8,Pingliang,平凉,pingliang,CHN062008
9,Jiuquan,酒泉,jiuquan,CHN062009
10,Qingyang,庆阳,qingyang,CHN062010
11,Dingxi,定西,dingxi,CHN062011
12,Longnan,陇南,longnan,CHN062012
29,Linxia Hui Autonomous Prefecture,临夏,linxia hui autonomous prefecture,CHN062029
30,Gannan Tibetan Autonomous Prefecture,甘南,gannan tibetan autonomous prefecture,CHN062030
1,Xining,西宁,xining,CHN063001
21,Haidong,海东,haidong,CHN063021
22,Haibei Tibetan Autonomous Prefecture,海北,haibei tibetan autonomous prefecture,CHN063022
23,Huangnan Tibetan Autonomous Prefecture,黄南,huangnan tibetan autonomous prefecture,CHN063023
25,Hainan Tibetan Autonomous Prefecture,海南,hainan tibetan autonomous prefecture,CHN063025
26,Guoluo Tibetan Autonomous Prefecture,果洛,guoluo tibetan autonomous prefecture,CHN063026
27,Yushu Tibetan Autonomous Prefecture,玉树,yushu tibetan autonomous prefecture,CHN063027
28,Haixi Mongol-Tibetan Autonomous Prefecture,海西,haixi mongol-tibetan autonomous prefecture,CHN063028
1,Yinchuan,银川,yinchuan,CHN064001
2,Shizuishan,石嘴山,shizuishan,CHN064002
3,Wuzhong,吴忠,wuzhong,CHN064003
4,Guyuan,固原,guyuan,CHN064004
5,Zhongwei,中卫,zhongwei,CHN064005
1,Urumqi,乌鲁木齐,urumqi,CHN065001
2,Karamay,克拉玛依,karamay,CHN065002
21,Turpan,吐鲁番,turpan,CHN065021
22,Hami,哈密,hami,CHN065022
23,Changji Hui Autonomous Prefecture,昌吉,changji hui autonomous prefecture,CHN065023
27,Bortala Mongol Autonomous Prefecture,博尔塔拉,bortala mongol autonomous prefecture,CHN065027
28,Bayingolin Mongol Autonomous Prefecture,巴音郭楞,bayingolin mongol autonomous prefecture,CHN065028
29,Aksu,阿克苏,aksu,CHN065029
30,Kizilsu Kirgiz Autonomous Prefecture,克孜勒苏,kizilsu kirgiz autonomous prefecture,CHN065030
31,Kashi,喀什,kashi,CHN065031
32,Hotan,和田,hotan,CHN065032
40,Ili Kazakh Autonomous Prefecture,伊犁,ili kazakh autonomous prefecture,CHN065040
42,Tacheng,塔城,tacheng,CHN065042
43,Altay,阿勒泰,altay,CHN065043
91,Shihezi,石河子,shihezi,CHN065091
92,Alar,阿拉尔,alar,CHN065092
93,Tumsuk,图木舒克,tumsuk,CHN065093
94,Wujiaqu,五家渠,wujiaqu,CHN065094
95,Beitun,北屯,beitun,CHN065095
1,Taipei City,台北市,taipei city,CHN071001
2,Kaohsiung City,高雄市,kaohsiung city,CHN071002
3,Keelung City,基隆市,keelung city,CHN071003
4,Taichung City,台中市,taichung city,CHN071004
5,Tainan City,台南市,tainan city,CHN071005
6,Hsinchu City,新竹市,hsinchu city,CHN071006
7,Chiayi City,嘉义市,chiayi city,CHN071007
8,Taipei County,台北县,taipei county,CHN071008
9,Ilan County,宜兰县,ilan county,CHN071009
10,Taoyuan County,桃园县,taoyuan county,CHN071010
11,Hsinchu County,新竹县,hsinchu county,CHN071011
12,Miaoli County,苗栗县,miaoli county,CHN071012
13,Taichung County,台中县,taichung county,CHN071013
14,Changhwa County,彰化县,changhwa county,CHN071014
15,Nantou County,南投县,nantou county,CHN071015
16,Yunnlin County,云林县,yunnlin county,CHN071016
17,Chiayi County,嘉义县,chiayi county,CHN071017
18,Tainan County,台南县,tainan county,CHN071018
19,Kaohsiung County,高雄县,kaohsiung county,CHN071019
20,Pingtung County,屏东县,pingtung county,CHN071020
21,Penghu County,澎湖县,penghu county,CHN071021
22,Taitung County,台东县,taitung county,CHN071022
23,Hualian County,花莲县,hualian county,CHN071023
HCW,,中西区,,CHN081HCW
HEA,,东区,,CHN081HEA
HSO,,南区,,CHN081HSO
HWC,,湾仔区,,CHN081HWC
KKC,,九龙城区,,CHN081KKC
KKT,,观塘区,,CHN081KKT
KSS,,深水埗区,,CHN081KSS
KWT,,黄大仙区,,CHN081KWT
KYT,,油尖旺区,,CHN081KYT
NIS,,离岛区,,CHN081NIS
NKT,,葵青区,,CHN081NKT
NNO,,北区,,CHN081NNO
NSK,,西贡区,,CHN081NSK
NST,,沙田区,,CHN081NST
NTM,,屯门区,,CHN081NTM
NTP,,大埔区,,CHN081NTP
NTW,,荃湾区,,CHN081NTW
NYL,,元朗区,,CHN081NYL
ANT,,圣安多尼堂区,,CHN082ANT
CAT,,大堂区,,CHN082CAT
CLN,,路环,,CHN082CLN
LAW,,望德堂区,,CHN082LAW
LAZ,,风顺堂区,,CHN082LAZ
OLF,,花地玛堂区,,CHN082OLF
TPA,,氹仔,,CHN082TPA
AG,Agnebi,阿涅比,agnebi,CIV0000AG
BF,Bafing,巴芬,bafing,CIV0000BF
BS,Bas-Sassandra,下萨桑德拉,bas-sassandra,CIV0000BS
DE,Denguele,登盖莱,denguele,CIV0000DE
DH,Montagnes,山地,montagnes,CIV0000DH
FR,Fromager,弗罗马格尔,fromager,CIV0000FR
HT,Haut-Sassandra,萨桑德拉,haut-sassandra,CIV0000HT
LC,Lacs,湖泊,lacs,CIV0000LC
LG,Lagunes,泻湖,lagunes,CIV0000LG
MC,Moyen-Comoe,中科莫埃,moyen-comoe,CIV0000MC
MR,Marahoue,马拉韦,marahoue,CIV0000MR
MV,Moyen-Cavally,中卡瓦利,moyen-cavally,CIV0000MV
NC,Nzi-Comoe,恩济－科莫埃,nzi-comoe,CIV0000NC
SB,Sud-Bandama,南邦达马,sud-bandama,CIV0000SB
SC,Sud-Comoe,南科莫埃,sud-comoe,CIV0000SC
SV,Savanes,萨瓦纳,savanes,CIV0000SV
VB,Vallee du Bandama,邦达马河谷,vallee du bandama,CIV0000VB
WR,Worodougou,沃罗杜古,worodougou,CIV0000WR
ZA,Zanzan,赞赞,zanzan,CIV0000ZA
ADA,Adamaoua,阿达马瓦,adamaoua,CMR000ADA
CEN,Central,中央,central,CMR000CEN
EST,Eastern,东部,eastern,CMR000EST
EXN,Extreme-Nord,北端,extreme-nord,CMR000EXN
LIT,Littoral,滨海,littoral,CMR000LIT
NOR,Northern,北部,northern,CMR000NOR
NOT,Nord-Oueste,西北,nord-oueste,CMR000NOT
OUE,Western,西部,western,CMR000OUE
SOU,Sud-Oueste,西南,sud-oueste,CMR000SOU
SUD,Debub,南部,debub,CMR000SUD
AMZ,Amazonas,亚马孙,amazonas,COL000AMZ
ANT,Antioquia,安提奥基亚,antioquia,COL000ANT
ARA,Arauca,阿劳卡,arauca,COL000ARA
ATL,Atlantique,大西洋,atlantique,COL000ATL
BDC,Bogota,波哥大首都区,bogota,COL000BDC
BOL,Bolivar,博利瓦尔,bolivar,COL000BOL
BOY,Boyaca,博亚卡,boyaca,COL000BOY
CAL,Caldas,卡尔达斯,caldas,COL000CAL
CAM,Cundinamarca,昆迪纳马卡,cundinamarca,COL000CAM
CAQ,Caqueta,卡克塔,caqueta,COL000CAQ
CAS,Casanare,卡萨纳雷,casanare,COL000CAS
CAU,Cauca,考卡,cauca,COL000CAU
CES,Cesar,塞萨尔,cesar,COL000CES
CHO,Choco,乔科,choco,COL000CHO
COR,Cordoba,科尔多巴,cordoba,COL000COR
GJR,La Guajira,瓜希拉,la guajira,COL000GJR
GNA,Guainia,瓜伊尼亚,guainia,COL000GNA
GVR,Guaviare,瓜维亚雷,guaviare,COL000GVR
HUI,Huila,乌伊拉,huila,COL000HUI
MAG,Magdalena,马格达雷那,magdalena,COL000MAG
MET,Meta,梅塔,meta,COL000MET
NAR,Narino,纳里尼奥,narino,COL000NAR
NDS,Norte de Santander,北桑坦德,norte de santander,COL000NDS
PUT,Putumayo,普图马约,putumayo,COL000PUT
QUI,Quindio,金迪奥,quindio,COL000QUI
RIS,Risaralda,利萨拉尔达,risaralda,COL000RIS
SAN,Santander,桑坦德,santander,COL000SAN
SAP,San Andres y Providencia,圣安德烈斯-普罗维登西亚,san andres y providencia,COL000SAP
SUC,Sucre,苏克雷,sucre,COL000SUC
TOL,Tolima,托利马,tolima,COL000TOL
VAU,Vaupes,沃佩斯,vaupes,COL000VAU
VDC,Valle del Cauca,考卡山谷,valle del cauca,COL000VDC
VIC,Vichada,维查达,vichada,COL000VIC
BR,Brava,布拉瓦岛,brava,CPV0000BR
BV,Boa Vista,博阿维斯塔岛,boa vista,CPV0000BV
CA,Santa Catarina,圣卡塔琳娜,santa catarina,CPV0000CA
CR,Santa Cruz,圣克鲁斯,santa cruz,CPV0000CR
FO,Fogo,福古岛,fogo,CPV0000FO
IA,Santiago,圣地亚哥岛,santiago,CPV0000IA
MA,Maio,马尤岛,maio,CPV0000MA
MO,Mosteiros,莫斯特罗,mosteiros,CPV0000MO
PA,Paul,保尔,paul,CPV0000PA
PN,Porto Novo,波多诺伏,porto novo,CPV0000PN
PR,Praia,普拉亚,praia,CPV0000PR
RG,Ribeira Grande,大里贝拉,ribeira grande,CPV0000RG
SA,Santo Antao,圣安唐岛,santo antao,CPV0000SA
SD,Sao Domingos,圣多明戈,sao domingos,CPV0000SD
SF,Sao Filipe,圣菲利普,sao filipe,CPV0000SF
SL,Sal,萨尔岛,sal,CPV0000SL
SM,Sao Miguel,圣米戈尔,sao miguel,CPV0000SM
SN,Sao Nicolau,圣尼古拉岛,sao nicolau,CPV0000SN
SV,Sao Vicente,圣维森特岛,sao vicente,CPV0000SV
TA,Tarrafal,塔拉法尔,tarrafal,CPV0000TA
A,Alajuela,阿拉胡埃拉,alajuela,CRI00000A
C,Cartago,卡塔戈,cartago,CRI00000C
G,Guanacaste,瓜纳卡斯特,guanacaste,CRI00000G
H,Heredia,埃雷迪亚,heredia,CRI00000H
L,Limon,利蒙,limon,CRI00000L
